race_id,driver_id,team_id,session_type,lap_time,lap_count,position
55,57,2,practice0,1:14.726,46,1
55,94,3,practice0,+0.297s,39,2
55,83,2,practice0,+0.492s,47,3
55,104,13,practice0,+0.907s,46,4
55,106,1,practice0,+0.962s,41,5
55,79,5,practice0,+1.113s,32,6
55,101,5,practice0,+1.219s,44,7
55,88,13,practice0,+1.240s,47,8
55,109,3,practice0,+1.335s,41,9
55,103,12,practice0,+1.356s,42,10
55,75,12,practice0,+1.383s,42,11
55,60,1,practice0,+1.441s,40,12
55,67,10,practice0,+1.824s,42,13
55,93,4,practice0,+1.834s,42,14
55,102,11,practice0,+1.838s,33,15
55,108,4,practice0,+1.945s,45,16
55,6,11,practice0,+1.958s,43,17
55,110,8,practice0,+2.054s,43,18
55,87,10,practice0,+2.334s,45,19
55,111,8,practice0,+3.053s,29,20
